"event","event_start","mean_men_before","mean_men_after","mean_women_before","mean_women_after","diff_men","diff_women","manual_DiD","regression_DiD","regression_se","regression_p"
"Invasion",2022-02-01,3.75834851244685,9.53301127214171,3.50941105039467,5.06441223832528,5.77466275969486,1.55500118793061,4.21966157176425,4.2196615717642,0.519215526029752,5.34264724667054e-16
"IT deferment",2022-04-01,3.82422104644327,9.70117845117849,3.53027630805409,5.10521885521883,5.87695740473521,1.57494254716474,4.30201485757047,4.30201485757041,0.522118337057361,2.12150287295945e-16
"Mobilization",2022-09-01,4.0223311546841,10.1092117758784,3.58932461873641,5.2041785375119,6.08688062119429,1.61485391877549,4.47202670241881,4.47202670241887,0.533486097334627,6.4423379023457e-17
"Student deferment",2022-09-01,4.0223311546841,10.1092117758784,3.58932461873641,5.2041785375119,6.08688062119429,1.61485391877549,4.47202670241881,4.47202670241887,0.533486097334627,6.4423379023457e-17
"Digital draft",2023-04-01,5.42962962962964,8.14236111111109,3.98765432098764,4.62384259259258,2.71273148148145,0.63618827160494,2.07654320987651,2.07654320987655,0.571871991983077,0.000284636582808738
"Age expansion",2024-01-01,6.26543209876546,6.15136876006442,4.3187830687831,3.66344605475042,-0.114063338701031,-0.655337014032684,0.541273675331654,0.541273675331661,0.639890302416532,0.397652054042463
"Year-round conscription",2025-09-01,6.25,5.92592592592593,4.21652421652419,2.83950617283951,-0.324074074074073,-1.37701804368468,1.05294396961061,1.05294396961063,1.59240600091549,0.508492394388986
